gene_symbol	ENTREZ_ID	is_coreseed	is_magma_sig	in_setA	P_meta	Q_meta	P_meta	GWAS_Grade	Q_gwas1	Q_gwas2
VPS13B	1649	TRUE	FALSE	TRUE	0.1533	0.672553	0.1533	CoreSeed-only	0.992958	0.984708
ADA	100	TRUE	FALSE	TRUE	0.154084	0.67357	0.154084	CoreSeed-only	0.800242	0.740836
CARD11	84433	TRUE	FALSE	TRUE	0.167105	0.687017	0.167105	CoreSeed-only	0.845657	0.695606
ERBIN	8651	TRUE	FALSE	TRUE	0.170698	0.687194	0.170698	CoreSeed-only	0.968093	0.99786
TOP2B	6446	TRUE	FALSE	TRUE	0.184059	0.703658	0.184059	CoreSeed-only	0.992958	0.978758
CHD7	55636	TRUE	FALSE	TRUE	0.251102	0.770585	0.251102	CoreSeed-only	0.992958	0.48889
PAX5	5291	TRUE	FALSE	TRUE	0.273208	0.788779	0.273208	CoreSeed-only	0.947949	0.670551
NSMCE3	5290	TRUE	FALSE	TRUE	0.289523	0.801507	0.289523	CoreSeed-only	0.919599	0.724015
MCM4	5295	TRUE	FALSE	TRUE	0.350358	0.828267	0.350358	CoreSeed-only	0.829853	0.812303
KMT2A	5335	TRUE	FALSE	TRUE	0.479642	0.891208	0.479642	CoreSeed-only	0.962254	0.742193
LRBA	5156	TRUE	FALSE	TRUE	0.638261	0.937518	0.638261	CoreSeed-only	0.925179	0.836154
ACTB	60	TRUE	FALSE	TRUE	0.687211	0.951591	0.687211	CoreSeed-only	1	0.85449
SLC7A7	3726	TRUE	FALSE	TRUE	0.738203	0.960168	0.738203	CoreSeed-only	1	0.799091
PTEN	2355	TRUE	FALSE	TRUE	0.748363	0.962179	0.748363	CoreSeed-only	0.945792	0.852978
BRCA2	675	TRUE	FALSE	TRUE	0.766383	0.965776	0.766383	CoreSeed-only	0.962254	0.920706
KDM6A	10000	TRUE	FALSE	TRUE	0.769192	0.965925	0.769192	CoreSeed-only	0.981358	0.89165
SRPRA	3727	TRUE	FALSE	TRUE	0.782898	0.969014	0.782898	CoreSeed-only	0.986517	0.879291
PRKDC	2353	TRUE	FALSE	TRUE	0.875339	0.987358	0.875339	CoreSeed-only	0.992958	0.771067
PDCD1	5293	TRUE	FALSE	TRUE	0.923354	0.993824	0.923354	CoreSeed-only	0.930195	0.8963
PSMD12	2354	TRUE	FALSE	TRUE	0.933209	0.995813	0.933209	CoreSeed-only	1	0.688459
CORO1A	1052	TRUE	FALSE	TRUE	0.989731	0.999133	0.989731	CoreSeed-only	0.95582	0.887593
PPIA	5478	FALSE	FALSE	FALSE	0.000161287	0.0516291	0.000161287	A	0.693147	0.212683
SGIP1	84251	FALSE	FALSE	FALSE	0.000168	0.0528344	0.000168	A	0.463925	0.326381
NCALD	83988	FALSE	FALSE	FALSE	0.000178526	0.0551769	0.000178526	A	0.691666	0.217602
SAAL1	113174	FALSE	FALSE	FALSE	0.000215022	0.0653303	0.000215022	A	0.527797	0.270531
SNX16	64089	FALSE	FALSE	FALSE	0.000226062	0.0675398	0.000226062	A	0.716561	0.199412
MYO3B	140469	FALSE	FALSE	FALSE	0.000244303	0.0715156	0.000244303	A	0.800242	0.128701
HP	3240	FALSE	FALSE	FALSE	0.000249211	0.0715156	0.000249211	A	0.737804	0.176915
ESAM	90952	FALSE	FALSE	FALSE	0.000256542	0.0715156	0.000256542	A	0.753974	0.174597
ZFP91	80829	FALSE	FALSE	FALSE	0.000256615	0.0715156	0.000256615	A	0.753974	0.174597
SORCS3	22986	FALSE	FALSE	FALSE	0.000259627	0.0715156	0.000259627	A	0.791889	0.151305
CCNE1	898	FALSE	FALSE	FALSE	0.000264572	0.0715156	0.000264572	A	0.527797	0.277744
ZC3H13	23091	FALSE	FALSE	FALSE	0.000267296	0.0715156	0.000267296	A	0.71972	0.19553
CSTB	1476	FALSE	FALSE	FALSE	0.000274935	0.0723738	0.000274935	A	0.997312	1
AKR1A1	10327	FALSE	FALSE	FALSE	0.000278578	0.0723738	0.000278578	A	0.75594	0.174597
SYNDIG1L	646658	FALSE	FALSE	FALSE	0.000291075	0.0740126	0.000291075	A	0.71972	0.210179
DHX38	9785	FALSE	FALSE	FALSE	0.000293609	0.0740126	0.000293609	A	0.716561	0.212683
CALHM3	119395	FALSE	FALSE	FALSE	0.000297273	0.0740126	0.000297273	A	0.756861	0.174597
PMFBP1	83449	FALSE	FALSE	FALSE	0.000311328	0.075259	0.000311328	A	0.732655	0.19553
TYW2	55039	FALSE	FALSE	FALSE	0.000313552	0.075259	0.000313552	A	0.800242	0.151305
UBIAD1	29914	FALSE	FALSE	FALSE	0.000317356	0.075259	0.000317356	A	0.854251	0.128701
H4C8	8365	FALSE	FALSE	FALSE	0.000323335	0.075259	0.000323335	A	0.71972	0.21571
VSIG2	23584	FALSE	FALSE	FALSE	0.000325665	0.075259	0.000325665	A	0.757781	0.174597
CRTAP	10491	FALSE	FALSE	FALSE	0.000330684	0.075259	0.000330684	A	0.527797	0.283504
PAX6	5080	FALSE	FALSE	FALSE	0.000336457	0.075259	0.000336457	A	0.6975	0.237057
CXXC4	80319	FALSE	FALSE	FALSE	0.000340816	0.075259	0.000340816	A	0.845491	0.128701
ELF2	1998	FALSE	FALSE	FALSE	0.000343462	0.075259	0.000343462	A	1	1
BNIP3L	665	FALSE	FALSE	FALSE	0.000344262	0.075259	0.000344262	A	0.71972	0.213051
CLCA1	1179	FALSE	FALSE	FALSE	0.000351436	0.0759018	0.000351436	A	0.71452	0.231978
DCAF4L1	285429	FALSE	FALSE	FALSE	0.000356739	0.0761299	0.000356739	A	0.807726	0.147122
CC2D1B	200014	FALSE	FALSE	FALSE	0.000381239	0.0795588	0.000381239	A	0.7655	0.174597
TNRC6A	27327	FALSE	FALSE	FALSE	0.000381683	0.0795588	0.000381683	A	0.791889	0.174597
KCNN2	3781	FALSE	FALSE	FALSE	0.000397651	0.0819344	0.000397651	A	0.963079	0.0338774
KCNK7	10089	FALSE	FALSE	FALSE	0.000422163	0.0859965	0.000422163	A	0.681805	0.261701
SRPK2	6733	FALSE	FALSE	FALSE	0.000428127	0.0862315	0.000428127	A	0.800242	0.174597
PELI1	57162	FALSE	FALSE	FALSE	0.000436131	0.0868675	0.000436131	A	0.864165	0.128701
SERPINA1	5265	FALSE	FALSE	FALSE	0.000443046	0.0872751	0.000443046	A	0.75594	0.19195
CALN1	83698	FALSE	FALSE	FALSE	0.000461359	0.0891446	0.000461359	A	0.812823	0.154768
TFAP2B	7021	FALSE	FALSE	FALSE	0.00046968	0.0891446	0.00046968	A	0.582444	0.290826
EME1	146956	FALSE	FALSE	FALSE	0.00047027	0.0891446	0.00047027	A	0.800242	0.174597
PPP1R3B	79660	FALSE	FALSE	FALSE	0.000477207	0.0891446	0.000477207	A	0.621861	0.281709
SEC11A	23478	FALSE	FALSE	FALSE	0.000477401	0.0891446	0.000477401	A	0.75594	0.212683
SNX7	51375	FALSE	FALSE	FALSE	0.000484149	0.0894024	0.000484149	A	0.823611	0.151305
AQR	9716	FALSE	FALSE	FALSE	0.000490785	0.0894024	0.000490785	A	0.681805	0.265844
ALPK3	57538	FALSE	FALSE	FALSE	0.000493743	0.0894024	0.000493743	A	0.666655	0.276671
MANBA	4126	FALSE	FALSE	FALSE	0.000508135	0.0895859	0.000508135	A	0.925146	0.0996214
HDAC4	9759	FALSE	FALSE	FALSE	0.000508435	0.0895859	0.000508435	A	0.800242	0.174597
PLK1	5347	FALSE	FALSE	FALSE	0.00051131	0.0895859	0.00051131	A	0.463925	0.351399
EHBP1L1	254102	FALSE	FALSE	FALSE	0.000522606	0.0895859	0.000522606	A	0.693147	0.265844
CRYZL1	9946	FALSE	FALSE	FALSE	0.000522873	0.0895859	0.000522873	A	0.71452	0.247912
XAB2	56949	FALSE	FALSE	FALSE	0.000524742	0.0895859	0.000524742	A	0.463925	0.365605
NCOA2	10499	FALSE	FALSE	FALSE	0.000530454	0.0897068	0.000530454	A	1	1
HRC	3270	FALSE	FALSE	FALSE	0.000536804	0.0899322	0.000536804	A	0.463925	0.37667
DEFB134	613211	FALSE	FALSE	FALSE	0.000558631	0.0927224	0.000558631	A	0.716561	0.242163
LINC02843	286238	FALSE	FALSE	FALSE	0.000574411	0.0943677	0.000574411	A	0.738204	0.231978
ORC1	4998	FALSE	FALSE	FALSE	0.000579072	0.0943677	0.000579072	A	0.788482	0.1899
MRPL27	51264	FALSE	FALSE	FALSE	0.000588159	0.094985	0.000588159	A	0.803853	0.174597
RNF139	11236	FALSE	FALSE	FALSE	0.000602976	0.0957898	0.000602976	A	0.829694	0.155448
CHD1L	9557	FALSE	FALSE	FALSE	0.000605565	0.0957898	0.000605565	A	0.810814	0.174597
PET100	100131801	FALSE	FALSE	FALSE	0.00061302	0.0957898	0.00061302	A	0.463925	0.371835
KRTAP4-9	100132386	FALSE	FALSE	FALSE	0.000617408	0.0957898	0.000617408	A	0.527797	0.333144
RBM25	58517	FALSE	FALSE	FALSE	0.000619861	0.0957898	0.000619861	A	0.82871	0.160579
ST3GAL3	6487	FALSE	FALSE	FALSE	0.000626818	0.0959647	0.000626818	A	0.463925	0.364334
FOXP1	27086	FALSE	FALSE	FALSE	0.000631699	0.0959647	0.000631699	A	0.716561	0.247912
GABRB2	2561	FALSE	FALSE	FALSE	0.000648598	0.0962521	0.000648598	A	0.739425	0.231978
NT5DC2	64943	FALSE	FALSE	FALSE	0.000650795	0.0962521	0.000650795	A	0.760811	0.212683
SEC14L3	266629	FALSE	FALSE	FALSE	0.000658389	0.0962521	0.000658389	A	0.71972	0.242163
MSRB3	253827	FALSE	FALSE	FALSE	0.000658602	0.0962521	0.000658602	A	0.6975	0.268705
ACTN2	88	FALSE	FALSE	FALSE	0.000662121	0.0962521	0.000662121	A	0.716561	0.249354
TRAK2	66008	FALSE	FALSE	FALSE	0.000665807	0.0962521	0.000665807	A	0.915517	0.128701
ITIH4	3700	FALSE	FALSE	FALSE	0.000689834	0.0985663	0.000689834	A	0.807726	0.174597
LRRC59	55379	FALSE	FALSE	FALSE	0.000692812	0.0985663	0.000692812	A	0.808104	0.174597
STIMATE	375346	FALSE	FALSE	FALSE	0.000724699	0.101492	0.000724699	A	0.75594	0.231832
STIMATE-MUSTN1	100526772	FALSE	FALSE	FALSE	0.000724699	0.101492	0.000724699	A	0.75594	0.231832
MAP6D1	79929	FALSE	FALSE	FALSE	0.000730545	0.101517	0.000730545	A	0.681805	0.281709
SLC30A9	10463	FALSE	FALSE	FALSE	0.000749372	0.102241	0.000749372	A	0.865467	0.151305
PRPF38A	84950	FALSE	FALSE	FALSE	0.000752801	0.102241	0.000752801	A	0.716561	0.261701
RSRC1	51319	FALSE	FALSE	FALSE	0.000752864	0.102241	0.000752864	A	0.863265	0.151305
GCNT2	2651	FALSE	FALSE	FALSE	0.000774173	0.104345	0.000774173	A	0.900632	1
ZNF878	729747	FALSE	FALSE	FALSE	0.000782267	0.104649	0.000782267	A	0.715363	0.265844
PAPPA	5069	FALSE	FALSE	FALSE	0.000805839	0.106564	0.000805839	A	0.621861	0.317321
STYX	6815	FALSE	FALSE	FALSE	0.000808477	0.106564	0.000808477	A	0.75594	0.231978
HMGN1	3150	FALSE	FALSE	FALSE	0.000832017	0.108867	0.000832017	A	0.817697	0.174597
HLA-F	3134	FALSE	FALSE	FALSE	0.00084495	0.109758	0.00084495	A	0.716561	0.26527
CYLC2	1539	FALSE	FALSE	FALSE	0.000857671	0.110609	0.000857671	A	0.617332	0.335668
TOPAZ1	375337	FALSE	FALSE	FALSE	0.000864821	0.110734	0.000864821	A	0.829853	0.174597
DHX30	22907	FALSE	FALSE	FALSE	0.000872119	0.110877	0.000872119	A	0.463925	0.385438
IFT70A	92104	FALSE	FALSE	FALSE	0.000884992	0.111721	0.000884992	A	0.800242	0.212683
TRIM32	22954	FALSE	FALSE	FALSE	0.000893121	0.111959	0.000893121	A	0.693147	0.284736
DPP4	1803	FALSE	FALSE	FALSE	0.000904183	0.112558	0.000904183	A	0.75594	0.237057
PDE7A	5150	FALSE	FALSE	FALSE	0.000921426	0.113191	0.000921426	A	0.521241	0.371835
MXRA7	439921	FALSE	FALSE	FALSE	0.000921897	0.113191	0.000921897	A	0.79135	0.217602
SEC61A1	29927	FALSE	FALSE	FALSE	0.0009407	0.114714	0.0009407	A	0.75594	0.231978
SEC62	7095	FALSE	FALSE	FALSE	0.000953283	0.115463	0.000953283	A	0.753974	0.247912
TAC1	6863	FALSE	FALSE	FALSE	0.000960329	0.115536	0.000960329	A	0.71972	0.265844
CHSY1	22856	FALSE	FALSE	FALSE	0.000983615	0.117516	0.000983615	A	0.681805	0.296288
WDR73	84942	FALSE	FALSE	FALSE	0.000989901	0.117516	0.000989901	A	0.860855	0.174597
WIPI2	26100	FALSE	FALSE	FALSE	0.000999255	0.117827	0.000999255	A	0.800242	0.212683
ASTN2	23245	FALSE	FALSE	FALSE	6.81E-05	0.0318456	6.81E-05	A+	0.681805	0.174597
DAGLB	221955	FALSE	FALSE	FALSE	6.93E-05	0.0318456	6.93E-05	A+	0.71972	0.139797
MAP4	4134	FALSE	FALSE	FALSE	7.49E-05	0.0333949	7.49E-05	A+	0.463925	0.246675
MUC7	4589	FALSE	FALSE	FALSE	7.64E-05	0.0333949	7.64E-05	A+	0.71452	0.174597
NRGN	4900	FALSE	FALSE	FALSE	8.68E-05	0.0370664	8.68E-05	A+	0.75594	0.128701
GATA4	2626	FALSE	FALSE	FALSE	9.00E-05	0.0375297	9.00E-05	A+	0.606586	0.223458
CTSB	1508	FALSE	FALSE	FALSE	0.000100336	0.0400121	0.000100336	A+	0.75594	0.128701
DCTN5	84516	FALSE	FALSE	FALSE	0.000100443	0.0400121	0.000100443	A+	0.463925	0.279957
ATXN1	6310	FALSE	FALSE	FALSE	0.000102725	0.0400314	0.000102725	A+	0.75594	0.128701
EFHD1	80303	FALSE	FALSE	FALSE	0.00010636	0.0405663	0.00010636	A+	0.672479	0.201379
ARHGAP27	201176	FALSE	FALSE	FALSE	0.000108899	0.0406692	0.000108899	A+	0.75594	0.128701
FDFT1	2222	FALSE	FALSE	FALSE	0.000116885	0.0427608	0.000116885	A+	0.709418	0.174597
RABIF	5877	FALSE	FALSE	FALSE	0.000120955	0.043365	0.000120955	A+	0.800242	0.119163
TXNL4B	54957	FALSE	FALSE	FALSE	0.000128741	0.0452087	0.000128741	A+	0.715363	0.174597
PPIL4	85313	FALSE	FALSE	FALSE	0.000131142	0.0452087	0.000131142	A+	0.617332	0.231978
MTMR9	66036	FALSE	FALSE	FALSE	0.000137621	0.0458266	0.000137621	A+	0.681805	0.212683
STAB1	23166	FALSE	FALSE	FALSE	0.000138047	0.0458266	0.000138047	A+	0.71452	0.176915
PLEKHM1	9842	FALSE	FALSE	FALSE	0.000140768	0.04588	0.000140768	A+	0.753974	0.151305
UNCX	340260	FALSE	FALSE	FALSE	0.00636086	0.238047	0.00636086	A+	0.00077942	
H3C13	653604	FALSE	FALSE	FALSE	0.0358072	0.437248	0.0358072	A+	0.0074729	
H2BC18	440689	FALSE	FALSE	FALSE	0.0358072	0.437248	0.0358072	A+	0.0074729	
PRR25	388199	FALSE	FALSE	FALSE	0.0496156	0.481543	0.0496156	A+	0.011418	
GOLGA6A	342096	FALSE	FALSE	FALSE	0.0504529	0.483883	0.0504529	A+	0.011669	
TMED9	54732	FALSE	FALSE	FALSE	0.0612412	0.509466	0.0612412	A+	0.015001	
PLEKHN1	84069	FALSE	FALSE	FALSE	0.0858978	0.566403	0.0858978	A+	0.02323	
B4GALT7	11285	FALSE	FALSE	FALSE	0.105162	0.600824	0.105162	A+	0.030149	
PERM1	84808	FALSE	FALSE	FALSE	0.120886	0.62274	0.120886	A+	0.036066	
PDCD1	5133	FALSE	FALSE	FALSE	0.15105	0.668916	0.15105	A+	0.047981	
PCP2	126006	FALSE	FALSE	FALSE	0.00101519	0.117827	0.00101519	None	0.463925	0.40856
CAPN3	825	FALSE	FALSE	FALSE	0.00101752	0.117827	0.00101752	None	0.875044	0.167053
OBP2B	29989	FALSE	FALSE	FALSE	0.00102548	0.117827	0.00102548	None	1	1
DNLZ	728489	FALSE	FALSE	FALSE	0.00103576	0.117827	0.00103576	None	0.817697	0.1905
CARD9	64170	FALSE	FALSE	FALSE	0.00103576	0.117827	0.00103576	None	0.817697	0.1905
FBN2	2201	FALSE	FALSE	FALSE	0.00104465	0.117827	0.00104465	None	0.896028	0.151305
MAP3K11	4296	FALSE	FALSE	FALSE	0.0010455	0.117827	0.0010455	None	0.71452	0.281709
TRIM16L	147166	FALSE	FALSE	FALSE	0.00105168	0.117827	0.00105168	None	0.463925	0.410692
GNPNAT1	64841	FALSE	FALSE	FALSE	0.00108001	0.118128	0.00108001	None	0.75594	0.242163
LETM2	137994	FALSE	FALSE	FALSE	0.00108075	0.118128	0.00108075	None	0.71521	0.279957
CCDC198	55195	FALSE	FALSE	FALSE	0.0010828	0.118128	0.0010828	None	0.905219	0.151305
SHC3	53358	FALSE	FALSE	FALSE	0.00108453	0.118128	0.00108453	None	0.71972	0.265844
CHRNG	1146	FALSE	FALSE	FALSE	0.00108731	0.118128	0.00108731	None	0.857732	0.174597
TMEM87B	84910	FALSE	FALSE	FALSE	0.0010957	0.118323	0.0010957	None	0.71972	0.276101
OR52A1	23538	FALSE	FALSE	FALSE	0.00111402	0.119581	0.00111402	None	0.463925	0.431408
TFAP2D	83741	FALSE	FALSE	FALSE	0.00116296	0.124091	0.00116296	None	0.71972	0.275594
PTGDR	5729	FALSE	FALSE	FALSE	0.00118958	0.12618	0.00118958	None	0.845491	0.174597
CHRND	1144	FALSE	FALSE	FALSE	0.00122741	0.128241	0.00122741	None	0.7655	0.23643
JMJD6	23210	FALSE	FALSE	FALSE	0.00122894	0.128241	0.00122894	None	0.800242	0.230349
ISLR	3671	FALSE	FALSE	FALSE	0.00123624	0.128241	0.00123624	None	0.925146	0.128701
UBE2V1	7335	FALSE	FALSE	FALSE	0.00123762	0.128241	0.00123762	None	1	1
SMIM2	79024	FALSE	FALSE	FALSE	0.00125486	0.12928	0.00125486	None	0.775296	0.23489
SLC30A5	64924	FALSE	FALSE	FALSE	0.00130979	0.134168	0.00130979	None	1	1
ZFYVE9	9372	FALSE	FALSE	FALSE	0.00135344	0.137268	0.00135344	None	0.79135	0.231978
VWC2L	402117	FALSE	FALSE	FALSE	0.00135685	0.137268	0.00135685	None	0.95582	0.119163
LPXN	9404	FALSE	FALSE	FALSE	0.00136788	0.137268	0.00136788	None	0.757781	0.247912
ZNF433	163059	FALSE	FALSE	FALSE	0.00137069	0.137268	0.00137069	None	0.71972	0.278983
PSMC6	5706	FALSE	FALSE	FALSE	0.00141736	0.141153	0.00141736	None	0.757781	0.249616
SUSD5	26032	FALSE	FALSE	FALSE	0.0014326	0.141635	0.0014326	None	0.75594	0.256517
PLPP5	84513	FALSE	FALSE	FALSE	0.001438	0.141635	0.001438	None	0.728598	0.277744
PSD	5662	FALSE	FALSE	FALSE	0.00148153	0.143531	0.00148153	None	0.716561	0.287571
ZSCAN2	54993	FALSE	FALSE	FALSE	0.00149485	0.143531	0.00149485	None	0.821867	0.212683
THBD	7056	FALSE	FALSE	FALSE	0.00149678	0.143531	0.00149678	None	0.75594	0.261701
OR5B12	390191	FALSE	FALSE	FALSE	0.00150167	0.143531	0.00150167	None	0.75594	0.265844
LINC03103	100507527	FALSE	FALSE	FALSE	0.00150529	0.143531	0.00150529	None	0.757781	0.256517
UQCC5	440957	FALSE	FALSE	FALSE	0.00151814	0.143864	0.00151814	None	0.800242	0.231978
TMEM132A	54972	FALSE	FALSE	FALSE	0.00153119	0.143864	0.00153119	None	1	1
DENND2D	79961	FALSE	FALSE	FALSE	0.00153827	0.143864	0.00153827	None	0.75594	0.263901
STXBP2	6813	FALSE	FALSE	FALSE	0.00154089	0.143864	0.00154089	None	0.49666	0.431408
RALYL	138046	FALSE	FALSE	FALSE	0.00157523	0.146153	0.00157523	None	0.800242	0.231978
NSD3	54904	FALSE	FALSE	FALSE	0.0015817	0.146153	0.0015817	None	0.724032	0.281709
YEATS2	55689	FALSE	FALSE	FALSE	0.00160473	0.14752	0.00160473	None	0.693147	0.335668
PRSS56	646960	FALSE	FALSE	FALSE	0.00163763	0.149776	0.00163763	None	0.757781	0.260163
H2BC3	3018	FALSE	FALSE	FALSE	0.00166363	0.151213	0.00166363	None	0.800242	0.231978
DDHD2	23259	FALSE	FALSE	FALSE	0.00167021	0.151213	0.00167021	None	0.75594	0.276671
CNTF	1270	FALSE	FALSE	FALSE	0.00169572	0.152751	0.00169572	None	0.716561	0.295402
NAT8L	339983	FALSE	FALSE	FALSE	0.00171803	0.153503	0.00171803	None	0.757781	0.261701
ASPRV1	151516	FALSE	FALSE	FALSE	0.00172119	0.153503	0.00172119	None	1	1
ZFP3	124961	FALSE	FALSE	FALSE	0.00173089	0.153604	0.00173089	None	0.800242	0.231978
GNPAT	8443	FALSE	FALSE	FALSE	0.00175589	0.155055	0.00175589	None	0.719373	0.295402
DEFB135	613209	FALSE	FALSE	FALSE	0.00177128	0.155647	0.00177128	None	0.75989	0.261701
DONSON	29980	FALSE	FALSE	FALSE	0.00178605	0.156179	0.00178605	None	0.715363	0.313581
LRRC8D	55144	FALSE	FALSE	FALSE	0.00180236	0.156301	0.00180236	None	0.823611	0.222739
CASP7	840	FALSE	FALSE	FALSE	0.00180854	0.156301	0.00180854	None	0.753974	0.279957
MFAP3L	9848	FALSE	FALSE	FALSE	0.00182185	0.156301	0.00182185	None	0.75594	0.277744
OSTN	344901	FALSE	FALSE	FALSE	0.00182232	0.156301	0.00182232	None	0.883566	0.176915
KCNH5	27133	FALSE	FALSE	FALSE	0.00184128	0.157175	0.00184128	None	0.728598	0.284736
MMD2	221938	FALSE	FALSE	FALSE	0.00187033	0.158898	0.00187033	None	0.800242	0.23489
BAG4	9530	FALSE	FALSE	FALSE	0.00189613	0.16033	0.00189613	None	0.757781	0.265844
CCR8	1237	FALSE	FALSE	FALSE	0.00192634	0.16212	0.00192634	None	0.898189	0.174597
PRB3	5544	FALSE	FALSE	FALSE	0.00195024	0.163364	0.00195024	None	0.6975	0.345929
EXTL3	2137	FALSE	FALSE	FALSE	0.0019782	0.164936	0.0019782	None	0.753974	0.283504
RNF146	81847	FALSE	FALSE	FALSE	0.00203837	0.167745	0.00203837	None	0.75594	0.276671
FHIP1A	729830	FALSE	FALSE	FALSE	0.00203854	0.167745	0.00203854	None	0.804232	0.23643
ADIRF	10974	FALSE	FALSE	FALSE	0.00204241	0.167745	0.00204241	None	0.829694	0.226821
PDIA2	64714	FALSE	FALSE	FALSE	0.00205317	0.167745	0.00205317	None	0.804232	0.23489
PGBD3	267004	FALSE	FALSE	FALSE	0.00205868	0.167745	0.00205868	None	1	1
TMEM170B	100113407	FALSE	FALSE	FALSE	0.00209596	0.168292	0.00209596	None	0.71452	0.340308
AAGAB	79719	FALSE	FALSE	FALSE	0.00209624	0.168292	0.00209624	None	0.808104	0.23489
